IDVenda;IDVendedor;IDCliente;Data;Total
69;3;105;2021-03-10 00:00:00;18072.90
70;5;58;2021-03-11 00:00:00;114.75
71;3;120;2021-03-12 00:00:00;2009.40
72;4;74;2021-03-13 00:00:00;15424.04
73;3;89;2021-03-14 00:00:00;7038.77
74;7;32;2021-03-15 00:00:00;127.84
75;10;91;2021-03-16 00:00:00;9007.00
76;10;202;2021-03-17 00:00:00;10737.00
77;2;89;2021-03-18 00:00:00;9201.00
78;3;100;2021-03-19 00:00:00;91.80
79;4;120;2021-03-20 00:00:00;13206.80
80;6;54;2021-03-21 00:00:00;7233.50
81;7;58;2021-03-22 00:00:00;20543.44
82;9;185;2021-03-23 00:00:00;15377.27
83;8;54;2021-03-24 00:00:00;7196.40
84;9;192;2021-03-25 00:00:00;8280.90
85;7;233;2021-03-26 00:00:00;13705.84
86;2;185;2021-03-27 00:00:00;389.55
87;6;100;2021-03-28 00:00:00;8368.88
88;2;233;2021-03-29 00:00:00;11820.24
89;7;218;2021-03-30 00:00:00;11818.00
90;4;115;2021-03-31 00:00:00;7205.75
91;4;16;2021-04-01 00:00:00;103.28
92;10;79;2021-04-02 00:00:00;5163.00
93;9;186;2021-04-03 00:00:00;7038.77
94;8;31;2021-04-04 00:00:00;6766.75
95;6;105;2021-04-05 00:00:00;213.50
96;10;27;2021-04-06 00:00:00;17165.79
97;6;54;2021-04-07 00:00:00;143.82
98;1;27;2021-04-08 00:00:00;17818.75
99;7;249;2021-04-09 00:00:00;4805.28
100;2;249;2021-04-10 00:00:00;2642.82
101;1;120;2021-04-11 00:00:00;233.58
102;10;47;2021-04-12 00:00:00;155.00
103;2;89;2021-04-13 00:00:00;2428.79
104;5;233;2021-04-14 00:00:00;29307.48
105;4;249;2021-04-15 00:00:00;20338.43
106;4;16;2021-04-16 00:00:00;6771.78
107;7;115;2021-04-17 00:00:00;5631.01
108;9;27;2021-04-18 00:00:00;207.00
109;10;89;2021-04-19 00:00:00;16561.80
110;4;31;2021-04-20 00:00:00;21357.00
111;9;191;2021-04-21 00:00:00;3048.80
112;2;218;2021-04-22 00:00:00;12123.48
113;3;218;2021-04-23 00:00:00;9310.66
114;5;191;2021-04-24 00:00:00;18413.60
115;10;202;2021-04-25 00:00:00;498.73
116;9;100;2021-04-26 00:00:00;2847.78
117;5;58;2021-04-27 00:00:00;155.00
118;8;15;2021-04-28 00:00:00;159.80
119;3;105;2021-04-29 00:00:00;159.80
120;7;47;2021-04-30 00:00:00;4640.00
121;6;47;2021-05-01 00:00:00;17527.65
122;3;47;2021-05-02 00:00:00;3289.00
123;9;58;2021-05-03 00:00:00;20082.85
124;5;74;2021-05-04 00:00:00;15911.45
125;4;74;2021-05-05 00:00:00;6509.30
126;6;105;2021-05-06 00:00:00;506.70
127;4;186;2021-05-07 00:00:00;5532.42
128;8;89;2021-05-08 00:00:00;5180.60
129;1;173;2021-05-09 00:00:00;2242.35
130;7;218;2021-05-10 00:00:00;5786.80
131;8;218;2021-05-11 00:00:00;16184.67
132;10;218;2021-05-12 00:00:00;3086.75
133;3;218;2021-05-13 00:00:00;219.25
134;5;218;2021-05-14 00:00:00;10831.11
135;10;100;2021-05-15 00:00:00;2914.16
136;2;15;2021-05-16 00:00:00;10384.85
137;8;249;2021-05-17 00:00:00;139.50
138;6;74;2021-05-18 00:00:00;2521.10
139;3;185;2021-05-19 00:00:00;8514.01
140;2;105;2021-05-20 00:00:00;6509.30
141;10;191;2021-05-21 00:00:00;12817.75
142;5;191;2021-05-22 00:00:00;5453.55
143;8;105;2021-05-23 00:00:00;5609.60
144;2;192;2021-05-24 00:00:00;115.06
145;2;192;2021-05-25 00:00:00;10199.50
146;10;31;2021-05-26 00:00:00;2464.60
147;4;15;2021-05-27 00:00:00;9321.80
148;6;115;2021-05-28 00:00:00;7360.80
149;5;16;2021-05-29 00:00:00;291.55
150;9;191;2021-05-30 00:00:00;6697.30
151;5;105;2021-05-31 00:00:00;4386.75
152;1;47;2021-06-01 00:00:00;2135.52
153;1;100;2021-06-02 00:00:00;5315.44
154;3;15;2021-06-03 00:00:00;7990.05
155;10;120;2021-06-04 00:00:00;159.80
156;7;91;2021-06-05 00:00:00;18786.84
157;10;89;2021-06-06 00:00:00;11349.63
158;6;115;2021-06-07 00:00:00;5593.40
159;1;58;2021-06-08 00:00:00;2268.99
160;3;249;2021-06-09 00:00:00;19528.45
161;2;186;2021-06-10 00:00:00;10178.74
162;9;89;2021-06-11 00:00:00;13570.57
163;2;173;2021-06-12 00:00:00;3207.57
164;4;249;2021-06-13 00:00:00;9122.82
165;5;58;2021-06-14 00:00:00;8966.75
166;1;54;2021-06-15 00:00:00;9201.00
167;9;120;2021-06-16 00:00:00;2521.10
168;3;100;2021-06-17 00:00:00;496.40
169;4;249;2021-06-18 00:00:00;131.75
170;2;120;2021-06-19 00:00:00;310.00
171;10;115;2021-06-20 00:00:00;3837.95
172;5;115;2021-06-21 00:00:00;28660.30
173;6;58;2021-06-22 00:00:00;21471.75
174;8;47;2021-06-23 00:00:00;6509.30
175;6;185;2021-06-24 00:00:00;159.80
176;9;91;2021-06-25 00:00:00;4780.45
177;10;233;2021-06-26 00:00:00;3398.90
178;10;191;2021-06-27 00:00:00;121.50
179;10;89;2021-06-28 00:00:00;16959.20
180;8;192;2021-06-29 00:00:00;5180.60
181;9;115;2021-06-30 00:00:00;13158.10
182;2;192;2021-07-01 00:00:00;3289.00
183;6;31;2021-07-02 00:00:00;3448.03
184;3;91;2021-07-03 00:00:00;2016.88
185;9;115;2021-07-04 00:00:00;20345.23
186;2;191;2021-07-05 00:00:00;169.20
187;6;185;2021-07-06 00:00:00;9413.50
188;7;115;2021-07-07 00:00:00;8852.00
189;4;218;2021-07-08 00:00:00;7674.60
190;5;120;2021-07-09 00:00:00;15531.90
191;6;47;2021-07-10 00:00:00;188.00
192;5;192;2021-07-11 00:00:00;387.70
193;5;173;2021-07-12 00:00:00;17466.93
194;10;202;2021-07-13 00:00:00;16561.80
195;7;79;2021-07-14 00:00:00;7348.25
196;1;54;2021-07-15 00:00:00;139.50
197;2;136;2021-07-16 00:00:00;22751.40
198;2;233;2021-07-17 00:00:00;9446.44
199;5;32;2021-07-18 00:00:00;10618.95
200;3;47;2021-07-19 00:00:00;7793.00
201;2;120;2021-07-20 00:00:00;8510.00
202;8;115;2021-07-21 00:00:00;3110.00
203;6;89;2021-07-22 00:00:00;92.00
204;9;27;2021-07-23 00:00:00;5552.58
205;9;136;2021-07-24 00:00:00;10021.88
206;8;185;2021-07-25 00:00:00;7094.78
207;6;115;2021-07-26 00:00:00;491.58
208;4;218;2021-07-27 00:00:00;7492.00
209;9;31;2021-07-28 00:00:00;2652.85
210;2;100;2021-07-29 00:00:00;103.50
211;10;32;2021-07-30 00:00:00;9322.50
212;10;202;2021-07-31 00:00:00;4917.36
213;10;100;2021-08-01 00:00:00;5858.37
214;8;218;2021-08-02 00:00:00;206.56
215;2;218;2021-08-03 00:00:00;4521.16
216;4;100;2021-08-04 00:00:00;3893.25
217;1;74;2021-08-05 00:00:00;2955.00
218;4;31;2021-08-06 00:00:00;7007.26
219;10;54;2021-08-07 00:00:00;14416.40
220;1;31;2021-08-08 00:00:00;7524.20
221;4;32;2021-08-09 00:00:00;11168.60
222;3;218;2021-08-10 00:00:00;230.00
223;9;79;2021-08-11 00:00:00;19416.16
224;10;185;2021-08-12 00:00:00;7820.85
225;3;79;2021-08-13 00:00:00;7312.80
226;7;173;2021-08-14 00:00:00;2955.00
227;9;233;2021-08-15 00:00:00;16062.00
228;6;89;2021-08-16 00:00:00;15048.40
229;10;100;2021-08-17 00:00:00;17567.10
230;8;185;2021-08-18 00:00:00;25146.85
231;8;185;2021-08-19 00:00:00;97.75
232;7;91;2021-08-20 00:00:00;5910.00
233;2;32;2021-08-21 00:00:00;12535.90
234;2;173;2021-08-22 00:00:00;217.80
235;7;233;2021-08-23 00:00:00;175.96
236;3;31;2021-08-24 00:00:00;18312.68
237;2;185;2021-08-25 00:00:00;2588.08
238;3;185;2021-08-26 00:00:00;16108.03
239;5;16;2021-08-27 00:00:00;15482.45
240;6;233;2021-08-28 00:00:00;3955.25
241;3;115;2021-08-29 00:00:00;10973.53
242;2;79;2021-08-30 00:00:00;2268.99
243;5;233;2021-08-31 00:00:00;169.20
244;1;192;2021-09-01 00:00:00;22711.68
245;1;100;2021-09-02 00:00:00;4449.95
246;7;185;2021-09-03 00:00:00;229.50
247;5;185;2021-09-04 00:00:00;97.20
248;6;32;2021-09-05 00:00:00;26852.87
249;6;115;2021-09-06 00:00:00;6075.82
250;1;79;2021-09-07 00:00:00;10409.36
251;6;162;2021-09-08 00:00:00;13814.22
252;3;84;2021-09-09 00:00:00;13295.00
253;10;107;2021-09-10 00:00:00;8976.80
254;3;2;2021-09-11 00:00:00;5782.68
255;1;81;2021-09-12 00:00:00;7997.20
256;3;63;2021-09-13 00:00:00;19438.51
257;10;188;2021-09-14 00:00:00;3984.50
258;8;14;2021-09-15 00:00:00;7360.80
259;1;162;2021-09-16 00:00:00;6063.75
260;5;77;2021-09-17 00:00:00;15451.00
261;9;25;2021-09-18 00:00:00;15346.92
262;3;181;2021-09-19 00:00:00;97.75
263;2;180;2021-09-20 00:00:00;16230.02
264;1;187;2021-09-21 00:00:00;20935.38
265;8;53;2021-09-22 00:00:00;165.24
266;9;239;2021-09-23 00:00:00;6206.80
267;3;107;2021-09-24 00:00:00;9201.00
268;1;56;2021-09-25 00:00:00;215.80
269;8;133;2021-09-26 00:00:00;8636.90
270;8;153;2021-09-27 00:00:00;2701.83
271;8;131;2021-09-28 00:00:00;3317.50
272;2;217;2021-09-29 00:00:00;263.08
273;10;65;2021-09-30 00:00:00;2511.75
274;10;147;2021-10-01 00:00:00;5932.00
275;5;46;2021-10-02 00:00:00;115.00
276;6;36;2021-10-03 00:00:00;8852.00
277;7;46;2021-10-04 00:00:00;175.96
278;10;126;2021-10-05 00:00:00;324.20
279;9;238;2021-10-06 00:00:00;8955.50
280;9;232;2021-10-07 00:00:00;3255.08
281;5;238;2021-10-08 00:00:00;11676.09
282;1;39;2021-10-09 00:00:00;7778.70
283;3;242;2021-10-10 00:00:00;2905.90
284;5;140;2021-10-11 00:00:00;7010.78
285;7;51;2021-10-12 00:00:00;2268.99
286;10;145;2021-10-13 00:00:00;15416.98
287;10;42;2021-10-14 00:00:00;4255.00
288;7;75;2021-10-15 00:00:00;7658.00
289;10;30;2021-10-16 00:00:00;439.20
290;1;154;2021-10-17 00:00:00;11488.10
291;3;106;2021-10-18 00:00:00;4358.28
292;7;5;2021-10-19 00:00:00;13543.56
293;9;195;2021-10-20 00:00:00;7932.45
294;2;112;2021-10-21 00:00:00;12682.50
295;3;83;2021-10-22 00:00:00;6683.79
296;5;237;2021-10-23 00:00:00;12167.00
297;6;52;2021-10-24 00:00:00;3131.90
298;5;141;2021-10-25 00:00:00;6771.78
299;9;152;2021-10-26 00:00:00;4836.70
300;5;142;2021-10-27 00:00:00;121.50
301;1;83;2021-10-28 00:00:00;2511.75
302;3;203;2021-10-29 00:00:00;8852.00
303;1;236;2021-10-30 00:00:00;16561.80
304;4;96;2021-10-31 00:00:00;3616.75
305;3;33;2021-11-01 00:00:00;210.80
306;5;36;2021-11-02 00:00:00;7935.60
307;10;75;2021-11-03 00:00:00;135.00
308;1;227;2021-11-04 00:00:00;7674.60
309;9;35;2021-11-05 00:00:00;2656.10
310;2;84;2021-11-06 00:00:00;13522.61
311;7;114;2021-11-07 00:00:00;10126.05
312;2;19;2021-11-08 00:00:00;2656.10
313;10;24;2021-11-09 00:00:00;2618.85
314;1;210;2021-11-10 00:00:00;3255.08
315;4;215;2021-11-11 00:00:00;115.00
316;4;14;2021-11-12 00:00:00;253.58
317;3;134;2021-11-13 00:00:00;5023.50
318;9;40;2021-11-14 00:00:00;2503.56
319;9;176;2021-11-15 00:00:00;5790.81
320;2;203;2021-11-16 00:00:00;29180.40
321;6;104;2021-11-17 00:00:00;2770.03
322;9;190;2021-11-18 00:00:00;8060.43
323;9;63;2021-11-19 00:00:00;6369.38
324;8;246;2021-11-20 00:00:00;3080.75
325;10;20;2021-11-21 00:00:00;2375.58
326;4;196;2021-11-22 00:00:00;7659.00
327;9;180;2021-11-23 00:00:00;2757.38
328;3;68;2021-11-24 00:00:00;19966.60
329;2;149;2021-11-25 00:00:00;8435.90
330;1;156;2021-11-26 00:00:00;8017.88
331;1;21;2021-11-27 00:00:00;12075.85
332;7;126;2021-11-28 00:00:00;12293.96
333;3;97;2021-11-29 00:00:00;251.80
334;5;141;2021-11-30 00:00:00;8852.00
335;5;116;2021-12-01 00:00:00;2771.10
336;5;3;2021-12-02 00:00:00;10658.90
337;1;232;2021-12-03 00:00:00;143.82
338;6;30;2021-12-04 00:00:00;7627.70
339;3;101;2021-12-05 00:00:00;19527.80
340;5;144;2021-12-06 00:00:00;159.80
341;2;78;2021-12-07 00:00:00;13038.10
342;6;241;2021-12-08 00:00:00;7183.75
343;9;231;2021-12-09 00:00:00;247.32
344;9;96;2021-12-10 00:00:00;9872.38
345;10;52;2021-12-11 00:00:00;105.40
346;6;219;2021-12-12 00:00:00;32495.40
347;5;203;2021-12-13 00:00:00;8510.00
348;10;127;2021-12-14 00:00:00;3829.50
349;10;162;2021-12-15 00:00:00;319.60
350;5;72;2021-12-16 00:00:00;2511.75
351;2;17;2021-12-17 00:00:00;103.50
352;9;224;2021-12-18 00:00:00;2669.40
353;4;117;2021-12-19 00:00:00;10008.20
354;4;198;2021-12-20 00:00:00;14746.26
355;5;5;2021-12-21 00:00:00;27016.24
356;7;124;2021-12-22 00:00:00;6027.57
357;6;230;2021-12-23 00:00:00;422.78
358;2;101;2021-12-24 00:00:00;20613.18
359;4;243;2021-12-25 00:00:00;220.40
360;1;52;2021-12-26 00:00:00;253.94
361;8;171;2021-12-27 00:00:00;229.75
362;6;230;2021-12-28 00:00:00;12161.90
363;5;138;2021-12-29 00:00:00;2955.00
364;6;177;2021-12-30 00:00:00;324.20
365;9;42;2021-12-31 00:00:00;10634.02
366;7;182;2022-01-01 00:00:00;10614.00
367;3;116;2022-01-02 00:00:00;13110.60
368;3;160;2022-01-03 00:00:00;169.20
369;3;108;2022-01-04 00:00:00;8241.60
370;3;237;2022-01-05 00:00:00;7130.57
371;5;172;2022-01-06 00:00:00;6509.30
372;7;245;2022-01-07 00:00:00;5766.83
373;7;67;2022-01-08 00:00:00;2260.58
374;1;5;2022-01-09 00:00:00;17096.16
375;6;35;2022-01-10 00:00:00;3060.40
376;7;178;2022-01-11 00:00:00;12130.40
377;9;200;2022-01-12 00:00:00;9064.50
378;8;8;2022-01-13 00:00:00;155.00
379;7;75;2022-01-14 00:00:00;13671.08
380;9;225;2022-01-15 00:00:00;14418.77
381;4;208;2022-01-16 00:00:00;8510.00
382;7;1;2022-01-17 00:00:00;9379.44
383;7;228;2022-01-18 00:00:00;2648.94
384;10;106;2022-01-19 00:00:00;194.40
385;5;60;2022-01-20 00:00:00;18402.00
386;8;38;2022-01-21 00:00:00;4376.50
387;8;156;2022-01-22 00:00:00;253.58
388;8;126;2022-01-23 00:00:00;490.88
389;8;148;2022-01-24 00:00:00;13439.78
390;7;238;2022-01-25 00:00:00;103.28
391;10;33;2022-01-26 00:00:00;5932.00
392;9;156;2022-01-27 00:00:00;8901.60
393;4;168;2022-01-28 00:00:00;16618.98
394;2;49;2022-01-29 00:00:00;8435.90
395;10;42;2022-01-30 00:00:00;14058.80
396;2;103;2022-01-31 00:00:00;10415.38
397;2;65;2022-02-01 00:00:00;16995.20
398;1;238;2022-02-02 00:00:00;5183.30
399;4;62;2022-02-03 00:00:00;14592.63
400;6;224;2022-02-04 00:00:00;18402.00
