IDProduto;IDVenda;Quantidade;ValorUnitario;ValorTotal;Desconto
5;176;1;2521.10;2521.10;176.48
6;176;1;2127.60;2127.60;148.93
7;176;1;131.75;131.75;10.54
3;177;1;3255.08;3255.08;292.96
8;177;1;143.82;143.82;12.94
10;178;1;121.50;121.50;12.15
1;179;1;7966.80;7966.80;717.01
5;179;2;2966.00;5932.00;415.24
6;179;1;2955.00;2955.00;206.85
7;179;1;105.40;105.40;7.38
5;180;1;2521.10;2521.10;226.90
6;180;1;2659.50;2659.50;265.95
4;181;2;6509.30;13018.60;1301.86
7;181;1;139.50;139.50;12.56
5;182;1;2966.00;2966.00;207.62
8;182;1;188.00;188.00;15.04
10;182;1;135.00;135.00;12.15
3;183;1;3255.08;3255.08;227.86
9;183;1;78.20;78.20;6.26
10;183;1;114.75;114.75;9.18
5;184;1;2016.88;2016.88;161.35
2;185;2;7038.77;14077.54;1407.75
3;185;1;3829.50;3829.50;306.36
5;185;1;2268.99;2268.99;226.90
8;185;1;169.20;169.20;15.23
8;186;1;169.20;169.20;13.54
2;187;1;9201.00;9201.00;736.08
9;187;1;97.75;97.75;8.80
10;187;1;114.75;114.75;8.03
1;188;1;8852.00;8852.00;619.64
1;189;1;7524.20;7524.20;677.18
8;189;1;150.40;150.40;15.04
1;190;1;7966.80;7966.80;637.34
2;190;1;7360.80;7360.80;736.08
9;190;1;82.80;82.80;6.62
10;190;1;121.50;121.50;8.51
8;191;1;188.00;188.00;16.92
8;192;1;188.00;188.00;15.04
9;192;1;78.20;78.20;7.04
10;192;1;121.50;121.50;8.51
2;193;2;7360.80;14721.60;1472.16
6;193;1;2511.75;2511.75;226.06
7;193;1;118.58;118.58;9.49
9;193;1;115.00;115.00;11.50
2;194;2;8280.90;16561.80;1159.33
3;195;2;3616.75;7233.50;651.02
10;195;1;114.75;114.75;8.03
7;196;1;139.50;139.50;9.76
1;197;1;8852.00;8852.00;796.68
4;197;2;6892.20;13784.40;964.91
9;197;1;115.00;115.00;8.05
3;198;1;3829.50;3829.50;268.07
4;198;1;5207.44;5207.44;416.60
7;198;1;139.50;139.50;12.56
10;198;2;135.00;270.00;18.90
4;199;1;7658.00;7658.00;765.80
5;199;1;2669.40;2669.40;266.94
7;199;1;131.75;131.75;10.54
8;199;1;159.80;159.80;14.38
4;200;1;7658.00;7658.00;765.80
10;200;1;135.00;135.00;9.45
3;201;2;4255.00;8510.00;765.90
6;202;1;2955.00;2955.00;295.50
7;202;1;155.00;155.00;17.05
9;203;1;92.00;92.00;9.20
6;204;2;2659.50;5319.00;585.09
7;204;1;118.58;118.58;13.04
9;204;1;115.00;115.00;13.80
2;205;1;7360.80;7360.80;736.08
6;205;1;2260.58;2260.58;271.27
8;205;1;188.00;188.00;22.56
9;205;1;97.75;97.75;11.73
10;205;1;114.75;114.75;11.48
1;206;1;6771.78;6771.78;744.90
8;206;1;188.00;188.00;18.80
10;206;1;135.00;135.00;14.85
7;207;1;118.58;118.58;14.23
8;207;1;159.80;159.80;17.58
9;207;1;78.20;78.20;9.38
10;207;1;135.00;135.00;16.20
3;208;2;3616.75;7233.50;723.35
7;208;1;155.00;155.00;15.50
9;208;1;103.50;103.50;10.35
5;209;1;2521.10;2521.10;302.53
7;209;1;131.75;131.75;15.81
9;210;1;103.50;103.50;12.42
2;211;1;9201.00;9201.00;920.10
10;211;1;121.50;121.50;13.37
6;212;2;2260.58;4521.16;497.33
8;212;1;169.20;169.20;20.30
9;212;1;92.00;92.00;11.04
10;212;1;135.00;135.00;13.50
4;213;1;5858.37;5858.37;703.00
10;214;2;103.28;206.56;22.72
6;215;2;2260.58;4521.16;497.33
3;216;1;3616.75;3616.75;361.68
7;216;1;155.00;155.00;17.05
10;216;1;121.50;121.50;13.37
6;217;1;2955.00;2955.00;354.60
4;218;1;6892.20;6892.20;689.22
8;218;1;115.06;115.06;11.51
1;219;1;7524.20;7524.20;752.42
4;219;1;6892.20;6892.20;689.22
1;220;1;7524.20;7524.20;827.66
4;221;1;6126.40;6126.40;735.17
5;221;2;2521.10;5042.20;605.06
9;222;2;115.00;230.00;23.00
4;223;2;6509.30;13018.60;1562.23
5;223;1;2966.00;2966.00;296.60
6;223;1;2955.00;2955.00;325.05
7;223;1;155.00;155.00;15.50
9;223;1;115.00;115.00;11.50
10;223;2;103.28;206.56;22.72
2;224;1;7820.85;7820.85;782.09
3;225;1;4255.00;4255.00;425.50
5;225;1;2966.00;2966.00;326.26
10;225;1;91.80;91.80;11.02
6;226;1;2955.00;2955.00;295.50
1;227;1;8852.00;8852.00;1062.24
3;227;1;4255.00;4255.00;425.50
6;227;1;2955.00;2955.00;295.50
1;228;2;7524.20;15048.40;1805.81
1;229;1;8852.00;8852.00;1239.28
4;229;1;6509.30;6509.30;911.30
6;229;1;2127.60;2127.60;255.31
9;229;1;78.20;78.20;10.95
1;230;1;8852.00;8852.00;1150.76
4;230;2;6509.30;13018.60;1301.86
5;230;1;2966.00;2966.00;296.60
9;230;2;97.75;195.50;23.46
10;230;1;114.75;114.75;16.07
9;231;1;97.75;97.75;14.66
6;232;2;2955.00;5910.00;650.10
2;233;1;8280.90;8280.90;1159.33
3;233;1;4255.00;4255.00;595.70
9;234;1;82.80;82.80;9.94
10;234;1;135.00;135.00;16.20
9;235;2;87.98;175.96;24.63
3;236;1;2893.40;2893.40;289.34
4;236;2;7658.00;15316.00;1837.92
10;236;1;103.28;103.28;15.49
6;237;1;2260.58;2260.58;226.06
7;237;1;139.50;139.50;13.95
8;237;1;188.00;188.00;22.56
3;238;1;3616.75;3616.75;470.18
4;238;1;6126.40;6126.40;735.17
5;238;1;2966.00;2966.00;355.92
6;238;1;2955.00;2955.00;413.70
7;238;1;118.58;118.58;15.42
8;238;1;143.82;143.82;20.13
9;238;1;78.20;78.20;10.95
10;238;1;103.28;103.28;10.33
1;239;1;8852.00;8852.00;1150.76
4;239;1;6126.40;6126.40;918.96
7;239;1;131.75;131.75;14.49
8;239;1;159.80;159.80;22.37
9;239;1;97.75;97.75;10.75
10;239;1;114.75;114.75;12.62
3;240;1;3616.75;3616.75;542.51
7;240;1;131.75;131.75;14.49
9;240;1;92.00;92.00;13.80
10;240;1;114.75;114.75;11.48
1;241;1;6771.78;6771.78;744.90
3;241;1;3829.50;3829.50;536.13
7;241;1;139.50;139.50;13.95
9;241;1;97.75;97.75;13.69
10;241;1;135.00;135.00;18.90
5;242;1;2268.99;2268.99;294.97
8;243;1;169.20;169.20;18.61
1;244;1;6771.78;6771.78;744.90
2;244;1;8280.90;8280.90;1076.52
3;244;2;3829.50;7659.00;765.90
3;245;1;4255.00;4255.00;553.15
9;245;1;97.75;97.75;9.78
10;245;1;97.20;97.20;13.61
7;246;1;131.75;131.75;18.45
9;246;1;97.75;97.75;14.66
10;247;1;97.20;97.20;10.69
2;248;1;7038.77;7038.77;844.65
3;248;1;3829.50;3829.50;459.54
4;248;2;6509.30;13018.60;1301.86
5;248;1;2966.00;2966.00;385.58
5;249;2;2966.00;5932.00;771.16
8;249;1;143.82;143.82;21.57
1;250;1;6019.36;6019.36;842.71
3;250;1;4255.00;4255.00;595.70
10;250;1;135.00;135.00;17.55
2;251;1;7820.85;7820.85;1094.92
4;251;1;5858.37;5858.37;820.17
10;251;1;135.00;135.00;13.50
1;252;1;8852.00;8852.00;1150.76
3;252;1;4255.00;4255.00;595.70
8;252;1;188.00;188.00;22.56
4;253;1;6509.30;6509.30;911.30
6;253;1;2364.00;2364.00;307.32
9;253;1;103.50;103.50;12.42
5;254;1;2521.10;2521.10;302.53
6;254;1;2955.00;2955.00;413.70
7;254;1;118.58;118.58;11.86
8;254;1;188.00;188.00;18.80
5;255;2;2521.10;5042.20;504.22
6;255;1;2955.00;2955.00;443.25
1;256;1;6019.36;6019.36;662.13
3;256;1;3616.75;3616.75;470.18
4;256;1;7658.00;7658.00;842.38
6;256;1;2009.40;2009.40;301.41
10;256;1;135.00;135.00;13.50
3;257;1;3829.50;3829.50;421.25
7;257;1;155.00;155.00;15.50
2;258;1;7360.80;7360.80;809.69
5;259;2;2966.00;5932.00;889.80
7;259;1;131.75;131.75;18.45
4;260;2;7658.00;15316.00;1837.92
10;260;1;135.00;135.00;13.50
1;261;1;7966.80;7966.80;1035.68
2;261;1;7038.77;7038.77;985.43
7;261;1;111.60;111.60;13.39
9;261;1;115.00;115.00;11.50
10;261;1;114.75;114.75;11.48
9;262;1;97.75;97.75;19.55
3;263;1;4255.00;4255.00;680.80
4;263;2;5858.37;11716.74;2109.01
7;263;1;155.00;155.00;27.90
10;263;1;103.28;103.28;20.66
2;264;2;8280.90;16561.80;3146.74
3;264;1;4255.00;4255.00;510.60
7;264;1;118.58;118.58;15.42
10;265;2;82.62;165.24;24.79
5;266;2;2966.00;5932.00;1186.40
8;266;1;159.80;159.80;28.76
9;266;1;115.00;115.00;18.40
2;267;1;9201.00;9201.00;1472.16
7;268;1;124.00;124.00;16.12
10;268;1;91.80;91.80;13.77
4;269;1;6509.30;6509.30;1301.86
6;269;1;2127.60;2127.60;404.24
6;270;1;2260.58;2260.58;361.69
7;270;1;131.75;131.75;22.40
8;270;1;188.00;188.00;35.72
10;270;1;121.50;121.50;20.66
5;271;1;2966.00;2966.00;385.58
9;271;2;115.00;230.00;32.20
10;271;1;121.50;121.50;15.80
8;272;1;159.80;159.80;20.77
10;272;1;103.28;103.28;13.43
6;273;1;2511.75;2511.75;427.00
5;274;2;2966.00;5932.00;830.48
9;275;1;115.00;115.00;17.25
1;276;1;8852.00;8852.00;1593.36
9;277;2;87.98;175.96;22.87
7;278;1;155.00;155.00;20.15
8;278;1;169.20;169.20;25.38
1;279;1;8852.00;8852.00;1327.80
9;279;1;103.50;103.50;19.67
3;280;1;3255.08;3255.08;488.26
1;281;1;6373.44;6373.44;892.28
5;281;1;2669.40;2669.40;427.10
6;281;1;2511.75;2511.75;401.88
10;281;1;121.50;121.50;17.01
1;282;1;7524.20;7524.20;1279.11
7;282;1;139.50;139.50;18.14
9;282;1;115.00;115.00;17.25
5;283;1;2521.10;2521.10;327.74
8;283;1;159.80;159.80;25.57
9;283;1;103.50;103.50;19.67
10;283;1;121.50;121.50;19.44
4;284;1;6892.20;6892.20;1378.44
7;284;1;118.58;118.58;17.79
5;285;1;2268.99;2268.99;408.42
1;286;2;7524.20;15048.40;2257.26
7;286;1;118.58;118.58;23.72
9;286;1;115.00;115.00;20.70
10;286;1;135.00;135.00;25.65
3;287;1;4255.00;4255.00;510.60
4;288;1;7658.00;7658.00;1072.12
7;289;1;155.00;155.00;20.15
8;289;1;169.20;169.20;23.69
9;289;1;115.00;115.00;20.70
1;290;1;8852.00;8852.00;1593.36
5;290;1;2521.10;2521.10;378.17
9;290;1;115.00;115.00;23.00
3;291;1;4255.00;4255.00;553.15
10;291;1;103.28;103.28;19.62
1;292;2;6771.78;13543.56;2437.84
2;293;1;7820.85;7820.85;1251.34
7;293;1;111.60;111.60;13.39
3;294;2;3829.50;7659.00;1761.57
6;294;2;2511.75;5023.50;653.06
3;295;1;4255.00;4255.00;723.35
5;295;1;2268.99;2268.99;317.66
8;295;1;159.80;159.80;27.17
2;296;1;9201.00;9201.00;1932.21
5;296;1;2966.00;2966.00;593.20
5;297;1;2669.40;2669.40;533.88
7;297;1;139.50;139.50;27.90
8;297;1;188.00;188.00;22.56
10;297;1;135.00;135.00;20.25
1;298;1;6771.78;6771.78;1083.48
5;299;1;2521.10;2521.10;352.95
6;299;1;2127.60;2127.60;297.86
8;299;1;188.00;188.00;41.36
10;300;1;121.50;121.50;15.80
6;301;1;2511.75;2511.75;552.59
1;302;1;8852.00;8852.00;1947.44
2;303;2;8280.90;16561.80;2815.51
3;304;1;3616.75;3616.75;831.85
7;305;2;105.40;210.80;35.84
2;306;1;7820.85;7820.85;1720.59
10;306;1;114.75;114.75;20.66
10;307;1;135.00;135.00;21.60
1;308;1;7524.20;7524.20;1655.32
8;308;1;150.40;150.40;19.55
5;309;1;2521.10;2521.10;630.28
10;309;1;135.00;135.00;33.75
2;310;1;7820.85;7820.85;1407.75
4;310;1;5513.76;5513.76;992.48
